S_micro	T_micro	diff	mA	mB	nA	nB
227000	-209381	74855	227000	-209381	1	1
227000	-208381	74414	227000	-208381	1	1
227000	-207381	73984	227000	-207381	1	1
227000	-206381	73566	227000	-206381	1	1
227000	-205381	73159	227000	-205381	1	1
227000	-204381	72763	227000	-204381	1	1
227000	-203381	72378	227000	-203381	1	1
227000	-202381	72006	227000	-202381	1	1
227000	-201381	71646	227000	-201381	1	1
227000	-200381	71298	227000	-200381	1	1
227000	-199381	70962	227000	-199381	1	1
227000	-198381	70639	227000	-198381	1	1
227000	-197381	70328	227000	-197381	1	1
227000	-196381	70031	227000	-196381	1	1
227000	-195381	69746	227000	-195381	1	1
227000	-194381	69475	227000	-194381	1	1
227000	-193381	69217	227000	-193381	1	1
227000	-192381	68973	227000	-192381	1	1
227000	-191381	68742	227000	-191381	1	1
227000	-190381	68526	227000	-190381	1	1
227000	-189381	68323	227000	-189381	1	1
227000	-188381	68134	227000	-188381	1	1
227000	-187381	67959	227000	-187381	1	1
227000	-186381	67799	227000	-186381	1	1
227000	-185381	67653	227000	-185381	1	1
227000	-184381	67522	227000	-184381	1	1
227000	-183381	67405	227000	-183381	1	1
227000	-182381	67303	227000	-182381	1	1
227000	-181381	67215	227000	-181381	1	1
227000	-180381	67143	227000	-180381	1	1
227000	-179381	67085	227000	-179381	1	1
227000	-178381	67042	227000	-178381	1	1
227000	-177381	67014	227000	-177381	1	1
227000	-176381	67001	227000	-176381	1	1
227000	-175381	67002	227000	-175381	1	1
227000	-174381	67019	227000	-174381	1	1
227000	-173381	67051	227000	-173381	1	1
227000	-172381	67097	227000	-172381	1	1
227000	-171381	67159	227000	-171381	1	1
227000	-170381	67235	227000	-170381	1	1
227000	-169381	67326	227000	-169381	1	1
227000	-168381	67431	227000	-168381	1	1
227000	-167381	67552	227000	-167381	1	1
227000	-166381	67686	227000	-166381	1	1
227000	-165381	67836	227000	-165381	1	1
227000	-164381	68000	227000	-164381	1	1
227000	-163381	68177	227000	-163381	1	1
227000	-162381	68370	227000	-162381	1	1
227000	-161381	68576	227000	-161381	1	1
227000	-160381	68796	227000	-160381	1	1
227000	-159381	69030	227000	-159381	1	1
227000	-158381	69277	227000	-158381	1	1
227000	-157381	69538	227000	-157381	1	1
227000	-156381	69813	227000	-156381	1	1
227000	-155381	70100	227000	-155381	1	1
227000	-154381	70401	227000	-154381	1	1
227000	-153381	70715	227000	-153381	1	1
227000	-152381	71041	227000	-152381	1	1
227000	-151381	71379	227000	-151381	1	1
227000	-150381	71730	227000	-150381	1	1
227000	-149381	72094	227000	-149381	1	1
227000	-148381	72469	227000	-148381	1	1
227000	-147381	72856	227000	-147381	1	1
227000	-146381	73254	227000	-146381	1	1
227000	-145381	73664	227000	-145381	1	1
227000	-144381	74086	227000	-144381	1	1
227000	-143381	74518	227000	-143381	1	1
227000	-142381	74961	227000	-142381	1	1
227000	-141381	75415	227000	-141381	1	1
227000	-140381	75879	227000	-140381	1	1
227000	-139381	76354	227000	-139381	1	1
227000	-138381	76838	227000	-138381	1	1
227000	-137381	77333	227000	-137381	1	1
227000	-136381	77837	227000	-136381	1	1
227000	-135381	78351	227000	-135381	1	1
227000	-134381	78874	227000	-134381	1	1
227000	-133381	79406	227000	-133381	1	1
227000	-132381	79947	227000	-132381	1	1
227000	-131381	80497	227000	-131381	1	1
227000	-130381	81056	227000	-130381	1	1
227000	-129381	81623	227000	-129381	1	1
227000	-128381	82198	227000	-128381	1	1
227000	-127381	82781	227000	-127381	1	1
